 ,221057_071,221057_088,221057_090,221057_098,221057_099,221057_101,221057_102,221057_103,221057_107,221057_132,221057_133,221057_139,221057_149,221057_152,221057_153,221057_154,221057_155,221057_156,221057_157,221057_160,221057_163,221057_164,221364_052,221364_080,221364_081,221364_085,221364_087,221479_216,221479_217,221479_221,221479_226,221481_118,221481_507,221481_513,221481_524,221701_034,221701_035,221701_036,221701_039,221701_040,221701_046,221701_048,221701_049,221701_050,221701_052,221701_054,221701_055,221701_056,221701_057,221701_060,221701_061,221701_062,221719_052,221727_015,230066_083,230066_085,230066_087,230066_089,230066_120,230066_121,230066_122,230066_124,230066_125,230066_126,230066_127,230066_128,230080_262,231570_005,231570_008,231570_009,231570_012,231685_259,231687_008,233285_119,233379_001,233379_037,233379_049,233379_050,233379_051,233379_052,233379_112,233379_122,233379_124,233379_128,233379_129,233380_038,233668_053,233668_057,233668_075,233668_076,233668_080,233668_095,233668_096,233668_097,233668_100,233668_101,233668_102,233668_103,233668_130,233668_170,233795_001,233795_002,233795_008,233795_011,233795_073,233795_075,233795_090,233795_124,233795_125,221090_095,221090_097,221090_098,221090_102,221091_154,221417_015,221417_016,221417_043,221418_128,221418_129,221418_139,221478_278,221479_163,221480_100,221481_197,221481_237,221702_004,231685_243,231685_255,231685_273,231685_274,231685_275,231685_286,231685_291,233379_031,233379_036,233379_039,233379_040,233379_097,233379_100,233379_101,233379_102,233379_103,233379_104,233379_107,233379_109,233379_130,233379_142,233380_036,233380_092,233380_094,233666_139,233666_204,233666_218,221090_092,221090_094,221090_099,221091_113,221091_125,221091_141,221417_017,221418_001,221418_127,221418_131,221418_132,221418_133,221418_135,221418_136,221418_137,221418_138,221418_150,221426_062,221477_058,221477_059,221479_170,221479_185,221479_236,221481_137,221515_017,231685_230,231685_244,231687_014,233285_248,233379_123,233666_049,233666_168,233666_201,233667_154,233667_217,233667_255,233667_256,233667_257,233667_269,233667_289,221065_082,221091_171,231687_017,233284_183,233285_047,212073_012,221226_023,221365_066,221365_067,221365_072,221365_073,231687_002,231687_012,233284_185,233285_008,233285_040,233285_044,233285_245,233285_246,233666_005,233666_048,233666_052,233666_126,233666_128,233666_192,233666_206,233666_214,233666_215,233666_219,233666_222,233666_225,233667_130,233667_131,233667_132,233667_171,233667_175,233795_007,221515_016,221515_021,221536_029,221701_051,233281_086,233281_093,233281_095,233281_096,233284_181,233284_182,233284_184,233285_029,233285_031,233285_039,233285_041,233285_045,233285_048,233666_050
="SSp-bfd4",="117.7785",="0",="0",="873.0007",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="330.8882",="0",="0",="0",="0",="202.077",="0",="0",="0",="0",="348.5013",="0",="0",="0",="0",="434.0755",="1078.8354",="0",="0",="0",="0",="0",="33.4797",="0",="0",="0",="0",="0",="0",="0",="0",="463.889",="0",="0",="0",="624.2548",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="315.3737",="0",="0",="22.7313",="0",="4643.5278",="0",="765.5644",="738.1307",="0",="3300.0174",="494.5359",="1706.7443",="0",="0",="1558.8745",="0",="0",="0",="0",="0",="72.4752",="0",="0",="0",="0",="0",="0",="0",="3216.9538",="1193.55",="411.0453",="0",="887.5177",="0",="127.4818",="0",="6.9989",="0",="374.4682",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="103.2402",="0",="0",="0",="0",="0",="2351.9925",="0",="0",="0",="0",="51.6133",="0",="0",="0",="0",="0",="0",="0",="0",="366.0031",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="715.336",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="325.2816",="390.4572",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="SSp-bfd5",="342.1044",="0",="0",="1448.5875",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="176.0024",="0",="0",="0",="107.468",="1607.7934",="287.2105",="0",="0",="0",="0",="0",="0",="0",="0",="1174.641",="289.9879",="0",="0",="0",="0",="0",="682.9967",="0",="0",="0",="0",="0",="0",="0",="0",="529.5496",="0",="0",="0",="266.9552",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="292.1588",="0",="0",="0",="0",="0",="485.5341",="0",="0",="0",="0",="3846.636",="0",="353.7194",="1342.082",="0",="618.0519",="22.905",="1093.5568",="0",="0",="390.4574",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="8678.5842",="3170.317",="0",="0",="1060.337",="0",="12.3392",="19.1046",="1526.094",="487.24",="1402.7633",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="141.7653",="0",="0",="0",="0",="0",="1229.9596",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="279.5046",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="73.5286",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="241.1191",="305.5631",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal1",="758.7197",="316.7365",="0",="0",="0",="0",="299.8808",="36.7242",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="641.0677",="0",="112.8637",="0",="0",="493.3598",="0",="0",="0",="0",="0",="0",="0",="0",="0",="863.4293",="0",="0",="0",="0",="0",="0",="0",="43.1261",="0",="0",="0",="145.0105",="0",="4973.6878",="0",="0",="0",="0",="0",="0",="0",="0",="555.994",="0",="0",="10.0416",="736.4667",="223.7679",="61.3978",="4.3873",="0",="112.8258",="0",="875.4984",="176.5093",="0",="280.7635",="0",="0",="0",="0",="0",="0",="0",="3.2138",="0",="0",="1285.9654",="0",="0",="0",="0",="0",="242.5718",="0",="0",="0",="0",="0",="0",="0",="71.8141",="369.7814",="319.5607",="0",="0",="0",="1311.7174",="0",="435.9834",="150.5975",="0",="1068.6677",="0",="0",="0",="2205.2524",="228.23309999999998",="0",="54.237",="0",="278.7251",="0",="0",="0",="72.8663",="0",="0",="0",="73.664",="151.0806",="0",="0",="0",="0",="0",="0",="100.3744",="256.7827",="0",="2532.0444",="0",="0",="0",="0",="0",="0",="0",="0",="1548.1008",="0",="0",="0",="0",="496.0498",="1612.4987",="390.1927",="250.1255",="1896.5774000000001",="0",="0",="0",="192.5143",="939.8464",="689.0826",="0",="0",="0",="1521.1135",="0",="1042.8175",="0",="0",="78.9941",="4.4009",="0",="791.9802",="4.5624",="0",="575.1484",="51.6279",="0",="17.465",="2742.9921",="0",="0",="0",="0",="1228.4456",="0",="0",="0",="0",="0",="0",="0",="359.8404",="0",="0",="2591.9044",="0",="0",="0",="0",="0",="0",="259.2684",="0",="770.694",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal2/3",="379.5832",="751.6677",="0",="0",="0",="358.1856",="1085.6252",="908.5733",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3237.6833",="0",="542.7039",="665.8704",="0",="826.502",="0",="0",="0",="0",="0",="516.7195",="0",="1452.13",="0",="1888.9461",="0",="0",="0",="0",="0",="0",="0",="394.004",="0",="0",="0",="3482.7079",="0",="6521.5601",="0",="0",="0",="0",="0",="0",="0",="0",="633.6446",="0",="0",="502.517",="2098.9476",="126.1116",="0",="251.4087",="739.1746",="141.4823",="0",="4940.5303",="2425.2674",="0",="578.3688",="0",="0",="0",="0",="0",="0",="2558.7091",="574.8068",="0",="0",="2735.8473",="555.5502",="0",="0",="0",="794.4975",="4649.3538",="0",="0",="0",="0",="0",="0",="0",="1773.0455",="4255.7786",="7455.4014",="0",="0",="0",="1520.9167",="320.0422",="6244.1882",="0",="0",="177.9613",="0",="0",="0",="103.5607",="675.7088",="0",="0",="0",="3343.6691",="0",="0",="0",="0",="0",="0",="0",="209.8343",="266.7272",="0",="0",="26.1525",="0",="0",="0",="260.9162",="160.7448",="0",="1223.5125",="0",="0",="0",="0",="0",="0",="0",="0",="1077.8523",="0",="0",="0",="0",="791.9245",="1204.2755",="1373.4729",="490.1767",="111.3288",="0",="0",="0",="845.2802",="1009.3896",="1189.5143",="0",="0",="0",="2914.8307",="0",="1177.9212",="0",="339.178",="408.4288",="9.8809",="0",="803.7295",="158.2932",="0",="651.3799",="171.3382",="0",="5.4104",="1862.7141",="0",="0",="0",="0",="625.4493",="0",="0",="0",="0",="0",="0",="0",="1806.4882000000002",="0",="0",="0",="0",="0",="0",="0",="0",="0",="347.8006",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam1",="44.873",="45.4115",="378.1998",="559.8556",="0",="0",="0",="0",="677.7828",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="58.3633",="0",="0",="0",="0",="0",="0",="0",="1785.3743",="0",="0",="0",="0",="0",="0",="0",="71.5476",="222.5215",="0",="1000.892",="0",="15.6512",="0",="0",="0",="0",="0",="431.2922",="0",="73.4169",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="414.3432",="0",="77.1561",="772.2507",="36.5035",="97.3506",="0",="214.0315",="4732.5865",="0",="0",="0",="0",="0",="237.3862",="0",="0",="0",="0",="575.8612",="0",="0",="0",="0",="0",="600.7982",="0",="0",="0",="521.3828",="0",="0",="0",="0",="0",="0",="0",="652.1731",="0",="0",="218.1602",="0",="0",="160.6396",="80.7075",="614.9055",="1190.8821",="0",="0",="0",="0",="0",="0",="527.0028",="0",="0",="0",="0",="0",="0",="0",="2817.7001",="4175.5373",="2869.6851",="44.4474",="0",="1845.5643",="301.1476",="0",="1901.8958",="3648.9574",="1413.6897",="0",="216.1213",="429.166",="117.2971",="0",="0",="22.9096",="0",="79.4363",="650.8426",="235.6934",="334.9346",="414.6396",="0",="5578.9029",="655.1799",="265.8152",="3575.2607",="2757.3434",="0",="266.879",="0",="1178.5031",="415.1974",="1256.0901999999999",="45.471",="1363.1317",="233.6069",="541.2361",="4598.1223",="0",="0",="0",="871.016",="2096.9023",="0",="56.313",="0",="0",="2456.7946",="0",="0",="0",="3029.3524",="0",="0",="5548.69",="0",="0",="0",="1584.9923",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="714.9845",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="137.3305",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISam2/3",="301.5057",="1003.2688",="2785.6846",="1612.8947",="0",="0",="0",="0",="2486.0194",="0",="0",="0",="0",="0",="0",="0",="50.7198",="123.419",="0",="0",="0",="0",="0",="0",="0",="32.4901",="121.5406",="89.5181",="0",="0",="0",="0",="202.0494",="403.9646",="0",="13.653",="0",="0",="8201.5181",="0",="0",="0",="0",="0",="186.3731",="0",="219.4668",="76.5712",="0",="6497.8853",="0",="1304.3743",="0",="245.1386",="0",="0",="0",="1966.7891",="0",="642.4511",="0",="0",="75.422",="0",="467.2517",="0",="0",="0",="0",="0",="512.5304",="0",="0",="0",="2183.2261",="0",="372.5916",="2684.5675",="550.0499",="941.3436",="0",="2412.9722",="4045.6782",="0",="0",="0",="0",="0",="939.4478",="0",="0",="0",="0",="743.1437",="0",="0",="0",="0",="0",="1214.9654",="419.152",="0",="0",="2810.9326",="0",="0",="0",="0",="64.2785",="0",="0",="419.5759",="0",="0",="40.9927",="0",="0",="0",="813.6424",="832.1638",="1303.0206",="0",="0",="0",="0",="0",="0",="146.1497",="0",="0",="199.8175",="70.5683",="0",="0",="0",="1291.379",="3718.0755",="1141.1933",="342.4125",="0",="529.9469",="799.2357",="0",="495.0955",="1864.2399",="715.4862",="209.1679",="0",="370.8506",="4228.0406",="0",="0",="366.9394",="0",="0",="578.2938",="233.5173",="297.0631",="0",="0",="8164.8088",="1959.6878",="4411.2088",="5540.8947",="4135.8491",="173.5497",="606.2088",="0",="4004.4747",="26.1816",="1676.4762",="0",="3585.3011",="0",="924.851",="448.7834",="0",="208.1977",="0",="285.2336",="1543.6911",="0",="954.8861",="0",="105.7382",="2779.326",="0",="0",="0",="5205.1968",="0",="0",="5501.2417",="0",="0",="0",="238.3843",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="238.8821",="0",="0",="0",="0",="0",="0",="0",="0",="2086.1328",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="32.3096",="0",="0",="0"
="VISam4",="17.8227",="324.552",="409.0149",="711.8248",="0",="0",="0",="0",="407.8636",="0",="0",="0",="0",="0",="0",="0",="0",="42.2846",="0",="0",="0",="0",="0",="0",="0",="0",="61.924",="271.2638",="0",="0",="0",="0",="0",="140.0015",="0",="0",="0",="0",="365.6034",="0",="0",="80.8285",="0",="0",="0",="0",="0",="0",="0",="865.5997",="0",="34.1761",="0",="0",="0",="0",="0",="723.0136",="0",="22.9367",="0",="0",="115.1202",="0",="81.7607",="0",="0",="0",="0",="0",="386.8334",="0",="0",="0",="535.2444",="0",="0",="285.1671",="75.4451",="0",="0",="88.9181",="380.6936",="0",="0",="0",="0",="0",="573.5684",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="155.0299",="0",="0",="0",="454.6067",="0",="0",="0",="0",="92.1929",="0",="0",="160.8447",="0",="0",="0",="0",="0",="0",="145.6387",="4.8852",="461.9845",="0",="0",="0",="0",="0",="0",="0",="0",="10.6921",="105.4287",="0",="0",="0",="0",="81.4702",="890.0263",="1389.9822",="208.4911",="0",="0",="119.3585",="0",="259.3326",="354.5806",="302.4658",="140.4016",="0",="87.6202",="0",="0",="0",="138.7759",="0",="0",="70.3998",="0",="0",="0",="0",="1410.2006",="228.6595",="788.0488",="365.2287",="254.4053",="251.1355",="132.5144",="0",="191.8396",="0",="992.5800999999999",="0",="127.9795",="15.0105",="202.6691",="0",="0",="184.2576",="0",="0",="135.7096",="0",="76.8995",="0",="254.9955",="259.312",="0",="0",="0",="408.4229",="0",="0",="349.4657",="0",="0",="0",="106.3276",="0",="0",="0",="0",="0",="247.5469",="0",="0",="0",="0",="0",="95.0633",="71.4688",="0",="0",="0",="0",="0",="0",="0",="154.6911",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="144.191",="0",="0",="15.077",="0",="0",="0",="0",="0",="0",="1440.5259",="0",="44.0193",="0"
="VISam5",="183.0873",="782.9976",="672.7837",="1065.4725",="0",="0",="623.7709",="0",="1176.0677",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="177.7184",="0",="6.0066",="0",="0",="465.4004",="0",="0",="0",="0",="0",="369.931",="0",="0",="242.3546",="0",="1202.2402",="0",="0",="852.309",="0",="0",="711.7892",="0",="0",="0",="0",="498.205",="0",="0",="0",="0",="333.6304",="0",="176.78",="4364.627",="0",="0",="462.6852",="0",="4020.5119",="0",="714.8361",="0",="0",="0",="0",="0",="673.9994",="173.2306",="0",="0",="750.1088",="0",="961.3593",="816.1452",="545.198",="888.2752",="541.6088",="1162.1015",="1350.9269",="0",="0",="0",="0",="20.5167",="4426.2435",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1119.3426",="939.6941",="0",="0",="0",="1197.4706",="0",="394.6016",="234.2219",="0",="81.5609",="0",="0",="424.2949",="0",="0",="271.1542",="219.0951",="0",="72.4639",="475.548",="744.4762",="502.1631",="0",="0",="0",="0",="0",="0",="0",="0",="102.2761",="350.4442",="0",="0",="0",="329.2292",="418.9144",="104.3426",="518.3537",="231.7208",="0",="311.8742",="351.387",="0",="0",="284.2816",="305.2485",="0",="0",="343.7688",="0",="0",="0",="122.2365",="0",="0",="456.4711",="0",="82.4095",="0",="0",="3205.7428",="1139.1805",="2576.449",="548.8953",="300.1767",="159.3623",="866.5181",="0",="363.013",="0",="430.0672",="0",="1798.0708",="1264.798",="298.7273",="225.7424",="0",="549.807",="0",="0",="261.3195",="0",="165.2525",="0",="0",="1110.8793",="0",="0",="0",="1459.3153",="0",="0",="1591.5443",="0",="0",="0",="417.8143",="22.3445",="671.7498",="194.1686",="0",="847.3617",="972.7306",="538.4872",="1155.1104",="236.2319",="0",="313.7145",="176.1573",="237.121",="0",="83.4165",="0",="0",="0",="0",="0",="259.0041",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="70.9102",="0",="204.9815",="0",="0",="285.0568",="0",="0",="0",="0",="0",="605.0344",="858.6472",="0",="588.1483",="0"
="VISl1",="563.3275",="408.2201",="0",="0",="0",="0",="1080.7786",="597.0866",="0",="0",="276.7578",="624.5287",="0",="0",="1437.1728",="0",="1303.6174",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="337.4214",="0",="0",="0",="385.585",="0",="1577.9638",="0",="0",="0",="0",="0",="0",="0",="1615.8714",="0",="2390.5521",="0",="133.5671",="0",="0",="0",="0",="682.4309",="238.4228",="0",="0",="0",="0",="570.7697",="0",="0",="1629.7057",="836.6675",="1771.2756",="3453.9618",="2169.5",="33.0029",="309.3538",="0",="308.4227",="2191.5065",="0",="669.0507",="0",="0",="0",="0",="0",="0",="398.9843",="0",="0",="0",="0",="1385.1395",="0",="0",="1212.3632",="1266.2916",="0",="245.5611",="0",="153.6801",="0",="0",="0",="0",="0",="0",="0",="822.5579",="207.7748",="733.8523",="531.5266",="0",="312.3278",="0",="0",="1246.4024",="0",="0",="0",="704.0212",="258.1611",="0",="33.1524",="0",="14.0232",="0",="0",="45.1873",="291.28610000000003",="0",="0",="0",="6651.5209",="3684.1638",="670.8434",="2842.5206",="5896.475399999999",="0",="0",="0",="912.3013",="0",="83.7062",="0",="0",="0",="0",="0",="0",="0",="0",="187.4441",="0",="10.731",="0",="0",="949.7791",="610.3417",="10602.6762",="840.734",="2254.8173",="640.6455",="0",="0",="0",="440.9228",="290.6551",="776.4642",="0",="0",="0",="43.0605",="516.6805",="1373.9129",="0",="368.0883",="0",="53.6404",="89.8851",="344.8817",="3661.2217",="0",="500.5542",="262.4825",="0",="1098.2095",="609.3767",="0",="0",="0",="0",="4480.2514",="0",="0",="302.2508",="3786.6763",="4905.9275",="4896.988",="11763.8747",="1499.7455",="252.217",="0",="3713.1448",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISl2/3",="1080.0736",="2621.5063",="0",="0",="0",="0",="6327.5249",="3672.1045",="0",="0",="2048.1285",="5036.5303",="0",="0",="2148.9818",="0",="7613.1848",="0",="0",="0",="0",="0",="0",="0",="218.6775",="0",="0",="0",="0",="0",="5820.325",="0",="677.0586",="0",="8333.7183",="0",="4355.3269",="0",="0",="0",="220.9983",="0",="0",="0",="6095.1032",="0",="2673.5306",="0",="170.8086",="0",="0",="0",="0",="6776.2275",="84.4311",="0",="0",="0",="0",="1428.0556",="0",="0",="3451.637",="4915.9001",="2796.9019",="1709.7379",="4654.4648",="1841.6863",="759.5096",="0",="1823.3959",="2303.7461",="0",="3395.0484",="0",="0",="0",="0",="0",="0",="450.6914",="0",="0",="0",="0",="7146.2592",="0",="79.8077",="1076.053",="10314.0033",="402.2884",="651.2282",="0",="793.022",="0",="0",="1531.15",="0",="0",="0",="0",="1828.4701",="819.7722",="940.211",="544.5988",="0",="4651.6977",="0",="378.1269",="91.3671",="0",="0",="0",="0",="0",="29.0095",="256.7132",="0",="1029.5473",="0",="0",="0",="0",="0",="45.3696",="0",="1169.9467",="3085.3589",="992.7326",="736.5561",="3596.4398",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="576.1747",="0",="562.5487",="0",="0",="13638.1925",="1897.6732000000002",="3687.328",="577.7981",="80.9849",="0",="0",="0",="0",="2468.3481",="883.253",="674.5341",="0",="0",="0",="517.393",="0",="4553.1729",="0",="226.4676",="225.2035",="52.1929",="545.2304",="1047.4322",="3358.2633",="0",="2305.8013",="1915.4601",="0",="841.7976",="572.0813",="0",="0",="0",="0",="1464.3426",="6.8798",="0",="443.3053",="3071.6709",="9567.1734",="1516.6549",="7913.1674",="5595.8319",="503.5098",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
