NeuronId,x,y,z
="221057_099.swc",="8768.5",="545.4359741210938",="7768.47998046875"
="221057_123.swc",="9917.740234375",="983.5880126953125",="7276.02001953125"
="221057_132.swc",="10127.099609375",="1371.6600341796875",="8199.3798828125"
="221057_133.swc",="10147.2001953125",="1452.31005859375",="8294.6396484375"
="221057_135.swc",="10254.7001953125",="1886.6400146484375",="8457.1396484375"
="221057_137.swc",="9976.4404296875",="1332.2099609375",="8591.1396484375"
="221057_139.swc",="10146.7001953125",="1364.1700439453125",="7861.89990234375"
="221057_149.swc",="8860.9599609375",="526.5960083007812",="7636.580078125"
="221057_167.swc",="9964.4404296875",="1149.030029296875",="7520.2998046875"
="221481_241.swc",="8808.7802734375",="1418.6700439453125",="9125.98046875"
="221481_257.swc",="9980.759765625",="1760.1800537109375",="8907.51953125"
="221481_258.swc",="10054.5",="1805.3599853515625",="8880.4404296875"
="221701_039.swc",="9446.900390625",="651.4619750976562",="3797.159912109375"
="221701_041.swc",="9484.0400390625",="703.22998046875",="3681.699951171875"
="221701_054.swc",="9103.48046875",="616.5020141601562",="3731.139892578125"
="221701_060.swc",="9635.7001953125",="748.2860107421875",="3967.820068359375"
="221702_003.swc",="9123.240234375",="1096.1199951171875",="2418.9599609375"
="221733_181.swc",="9245.5400390625",="1302.010009765625",="9089.4404296875"
="230066_078.swc",="9996.83984375",="1483.6300048828125",="8846.1796875"
="230066_079.swc",="10189.2998046875",="1735.719970703125",="8774.4599609375"
="230066_081.swc",="10172.7998046875",="1873.0799560546875",="8644.4599609375"
="230066_082.swc",="10129",="1385.5799560546875",="8283.599609375"
="230066_083.swc",="9951.759765625",="1367.6500244140625",="8700.98046875"
="230066_084.swc",="10012.400390625",="1418.5899658203125",="8739.6396484375"
="230066_087.swc",="9962",="983.5599975585938",="7393.56005859375"
="230066_121.swc",="8686.919921875",="613.6279907226562",="8071.83984375"
="230066_124.swc",="8789.2001953125",="579.4619750976562",="7892.68017578125"
